team_id,team_name,titles,group,confederation,fifa_rank_apr2026,world_cup_debut,OVR,PAC,SHO,PAS,DRI,DEF,PHY
T01,Mexico,0,A,CONCACAF,15,No,78,75,75,72,77,51,74
T02,South Korea,0,A,AFC,25,No,77,74,67,70,75,54,71
T03,Czechia,0,A,UEFA,41,No,78,70,71,74,75,56,78
T04,South Africa,0,A,CAF,60,No,65,74,44,52,59,57,69
T05,Switzerland,0,B,UEFA,14,No,80,75,68,72,77,67,79
T06,Canada,0,B,CONCACAF,30,No,77,79,66,67,72,56,77
T07,Qatar,0,B,AFC,35,No,,,,,,,
T08,Bosnia & Herzegovina,0,B,UEFA,65,No,75,67,62,64,70,56,75
T09,Brazil,5,C,CONMEBOL,6,No,86,79,68,76,79,69,81
T10,Morocco,0,C,CAF,8,No,81,78,72,74,79,57,74
T11,Scotland,0,C,UEFA,47,No,78,72,65,72,75,72,75
T12,Haiti,0,C,CONCACAF,83,No,67,70,53,59,64,52,70
T13,USA,0,D,CONCACAF,16,No,79,80,66,71,78,62,73
T14,Australia,0,D,AFC,24,No,,,,,,,
T15,Türkiye,0,D,UEFA,42,No,81,77,71,75,78,64,74
T16,Paraguay,0,D,CONMEBOL,64,No,76,73,64,65,72,58,71
T17,Germany,4,E,UEFA,10,No,86,74,67,79,79,67,79
T18,Ecuador,0,E,CONMEBOL,28,No,,,,,,,
T19,Ivory Coast,0,E,CAF,33,No,80,78,58,69,74,69,78
T20,Curaçao,0,E,CONCACAF,81,Yes,67,77,55,62,69,56,66
T21,Netherlands,0,F,UEFA,7,No,85,77,68,77,79,78,79
T22,Japan,0,F,AFC,17,No,79,78,68,72,78,64,72
T23,Sweden,0,F,UEFA,39,No,79,78,64,70,76,63,76
T24,Tunisia,0,F,CAF,40,No,73,72,61,66,71,57,69
T25,Belgium,0,G,UEFA,9,No,83,73,77,80,82,54,74
T26,Iran,0,G,AFC,18,No,78,74,78,74,78,38,68
T27,Egypt,0,G,CAF,29,No,79,75,66,70,73,55,74
T28,New Zealand,0,G,OFC,95,No,71,67,58,64,67,60,76
T29,Spain,1,H,UEFA,2,No,87,79,77,83,86,63,74
T30,Uruguay,2,H,CONMEBOL,13,No,,,,,,,
T31,Saudi Arabia,0,H,AFC,57,No,72,76,57,64,68,60,74
T32,Cape Verde,0,H,CAF,70,Yes,72,72,56,63,69,50,68
T33,France,2,I,UEFA,1,No,87,83,67,76,83,67,79
T34,Senegal,0,I,CAF,21,No,80,76,69,72,77,58,76
T35,Norway,0,I,UEFA,44,No,81,74,73,73,77,59,79
T36,Iraq,0,I,AFC,61,No,67,72,59,61,68,49,67
T37,Argentina,3,J,CONMEBOL,3,No,85,74,79,80,83,65,78
T38,Austria,0,J,UEFA,23,No,80,75,62,72,75,71,74
T39,Algeria,0,J,CAF,36,No,,,,,,,
T40,Jordan,0,J,AFC,68,Yes,75,79,29,46,52,73,83
T41,Portugal,0,K,UEFA,5,No,86,75,74,82,83,65,77
T42,Colombia,0,K,CONMEBOL,15,No,79,75,70,72,77,64,76
T43,DR Congo,0,K,CAF,51,No,76,76,58,65,71,61,76
T44,Uzbekistan,0,K,AFC,62,Yes,76,82,55,62,70,59,71
T45,England,1,L,UEFA,4,No,85,76,73,79,82,66,78
T46,Croatia,0,L,UEFA,11,No,81,72,71,75,80,64,75
T47,Panama,0,L,CONCACAF,53,No,69,65,55,61,67,54,72
T48,Ghana,0,L,CAF,65,No,77,75,65,70,75,58,73
