"Match #","Stage","Matchday","Group","Date (Local Venue)","Time (Local)","Timezone (Local)","Time (EDT Broadcast)","Team / Path A","Team / Path B","Qualification Rule (Full)","Venue","Notes","??1??","??2??","???????1??","???????2??"
"M001","Group Stage","1","A","2026/6/11","13:00","CST (UTC-6)","15:00 EDT","Mexico","South Africa","Group A, Matchday 1","Estadio Azteca, Mexico City","Opening match of tournament","2","0","",""
"M002","Group Stage","1","A","2026/6/11","20:00","CST (UTC-6)","22:00 EDT","South Korea","Czech","Group A, Matchday 1","Estadio Akron, Guadalajara","","2","1","",""
"M003","Group Stage","1","B","2026/6/12","15:00","EDT (UTC-4)","15:00 EDT","Canada","Bosnia & Herzegovina","Group B, Matchday 1","BMO Field, Toronto","","","","",""
"M004","Group Stage","1","D","2026/6/12","18:00","PDT (UTC-7)","21:00 EDT","USA","Paraguay","Group D, Matchday 1","SoFi Stadium, Inglewood","","","","",""
"M005","Group Stage","1","C","2026/6/13","21:00","EDT (UTC-4)","21:00 EDT","Haiti","Scotland","Group C, Matchday 1","Gillette Stadium, Foxborough","","","","",""
"M006","Group Stage","1","D","2026/6/13","21:00","PDT (UTC-7)","00:00 EDT","Australia","Türkiye","Group D, Matchday 1","BC Place, Vancouver","","","","",""
"M007","Group Stage","1","C","2026/6/13","18:00","EDT (UTC-4)","18:00 EDT","Brazil","Morocco","Group C, Matchday 1","MetLife Stadium, East Rutherford","","","","",""
"M008","Group Stage","1","B","2026/6/13","12:00","PDT (UTC-7)","15:00 EDT","Qatar","Switzerland","Group B, Matchday 1","Levi's Stadium, Santa Clara","","","","",""
"M009","Group Stage","1","E","2026/6/14","19:00","EDT (UTC-4)","19:00 EDT","Ivory Coast","Ecuador","Group E, Matchday 1","Lincoln Financial Field, Philadelphia","","","","",""
"M010","Group Stage","1","E","2026/6/14","12:00","CDT (UTC-5)","13:00 EDT","Germany","Curaçao","Group E, Matchday 1","NRG Stadium, Houston","","","","",""
"M011","Group Stage","1","F","2026/6/14","15:00","CDT (UTC-5)","16:00 EDT","Netherlands","Japan","Group F, Matchday 1","AT&T Stadium, Arlington","","","","",""
"M012","Group Stage","1","F","2026/6/14","20:00","CST (UTC-6)","22:00 EDT","Sweden","Tunisia","Group F, Matchday 1","Estadio BBVA, Guadalupe","","","","",""
"M013","Group Stage","1","H","2026/6/15","18:00","EDT (UTC-4)","18:00 EDT","Saudi Arabia","Uruguay","Group H, Matchday 1","Hard Rock Stadium, Miami Gardens","","","","",""
"M014","Group Stage","1","H","2026/6/15","12:00","EDT (UTC-4)","12:00 EDT","Spain","Cape Verde","Group H, Matchday 1","Mercedes-Benz Stadium, Atlanta","","","","",""
"M015","Group Stage","1","G","2026/6/15","18:00","PDT (UTC-7)","21:00 EDT","Iran","New Zealand","Group G, Matchday 1","SoFi Stadium, Inglewood","","","","",""
"M016","Group Stage","1","G","2026/6/15","12:00","PDT (UTC-7)","15:00 EDT","Belgium","Egypt","Group G, Matchday 1","Lumen Field, Seattle","","","","",""
"M017","Group Stage","1","I","2026/6/16","15:00","EDT (UTC-4)","15:00 EDT","France","Senegal","Group I, Matchday 1","MetLife Stadium, East Rutherford","","","","",""
"M018","Group Stage","1","I","2026/6/16","18:00","EDT (UTC-4)","18:00 EDT","Iraq","Norway","Group I, Matchday 1","Gillette Stadium, Foxborough","","","","",""
"M019","Group Stage","1","J","2026/6/16","20:00","CDT (UTC-5)","21:00 EDT","Argentina","Algeria","Group J, Matchday 1","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M020","Group Stage","1","J","2026/6/16","21:00","PDT (UTC-7)","00:00 EDT","Austria","Jordan","Group J, Matchday 1","Levi's Stadium, Santa Clara","","","","",""
"M021","Group Stage","1","L","2026/6/17","19:00","EDT (UTC-4)","19:00 EDT","Ghana","Panama","Group L, Matchday 1","BMO Field, Toronto","","","","",""
"M022","Group Stage","1","L","2026/6/17","15:00","CDT (UTC-5)","16:00 EDT","England","Croatia","Group L, Matchday 1","AT&T Stadium, Arlington","","","","",""
"M023","Group Stage","1","K","2026/6/17","12:00","CDT (UTC-5)","13:00 EDT","Portugal","DR Congo","Group K, Matchday 1","NRG Stadium, Houston","","","","",""
"M024","Group Stage","1","K","2026/6/17","20:00","CST (UTC-6)","22:00 EDT","Uzbekistan","Colombia","Group K, Matchday 1","Estadio Azteca, Mexico City","","","","",""
"M025","Group Stage","2","A","2026/6/18","12:00","EDT (UTC-4)","12:00 EDT","Czech","South Africa","Group A, Matchday 2","Mercedes-Benz Stadium, Atlanta","","","","",""
"M026","Group Stage","2","B","2026/6/18","12:00","PDT (UTC-7)","15:00 EDT","Switzerland","Bosnia & Herzegovina","Group B, Matchday 2","SoFi Stadium, Inglewood","","","","",""
"M027","Group Stage","2","B","2026/6/18","15:00","PDT (UTC-7)","18:00 EDT","Canada","Qatar","Group B, Matchday 2","BC Place, Vancouver","","","","",""
"M028","Group Stage","2","A","2026/6/18","19:00","CST (UTC-6)","21:00 EDT","Mexico","South Korea","Group A, Matchday 2","Estadio Akron, Guadalajara","","","","",""
"M029","Group Stage","2","C","2026/6/19","20:30","EDT (UTC-4)","20:30 EDT","Brazil","Haiti","Group C, Matchday 2","Lincoln Financial Field, Philadelphia","","","","",""
"M030","Group Stage","2","C","2026/6/19","18:00","EDT (UTC-4)","18:00 EDT","Scotland","Morocco","Group C, Matchday 2","Gillette Stadium, Foxborough","","","","",""
"M031","Group Stage","2","D","2026/6/19","20:00","PDT (UTC-7)","23:00 EDT","Türkiye","Paraguay","Group D, Matchday 2","Levi's Stadium, Santa Clara","","","","",""
"M032","Group Stage","2","D","2026/6/19","12:00","PDT (UTC-7)","15:00 EDT","USA","Australia","Group D, Matchday 2","Lumen Field, Seattle","","","","",""
"M033","Group Stage","2","E","2026/6/20","16:00","EDT (UTC-4)","16:00 EDT","Germany","Ivory Coast","Group E, Matchday 2","BMO Field, Toronto","","","","",""
"M034","Group Stage","2","E","2026/6/20","19:00","CDT (UTC-5)","20:00 EDT","Ecuador","Curaçao","Group E, Matchday 2","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M035","Group Stage","2","F","2026/6/20","12:00","CDT (UTC-5)","13:00 EDT","Netherlands","Sweden","Group F, Matchday 2","NRG Stadium, Houston","","","","",""
"M036","Group Stage","2","F","2026/6/20","22:00","CST (UTC-6)","00:00 EDT","Tunisia","Japan","Group F, Matchday 2","Estadio BBVA, Guadalupe","","","","",""
"M037","Group Stage","2","H","2026/6/21","18:00","EDT (UTC-4)","18:00 EDT","Uruguay","Cape Verde","Group H, Matchday 2","Hard Rock Stadium, Miami Gardens","","","","",""
"M038","Group Stage","2","H","2026/6/21","12:00","EDT (UTC-4)","12:00 EDT","Spain","Saudi Arabia","Group H, Matchday 2","Mercedes-Benz Stadium, Atlanta","","","","",""
"M039","Group Stage","2","G","2026/6/21","12:00","PDT (UTC-7)","15:00 EDT","Belgium","Iran","Group G, Matchday 2","SoFi Stadium, Inglewood","","","","",""
"M040","Group Stage","2","G","2026/6/21","18:00","PDT (UTC-7)","21:00 EDT","New Zealand","Egypt","Group G, Matchday 2","BC Place, Vancouver","","","","",""
"M041","Group Stage","2","I","2026/6/22","20:00","EDT (UTC-4)","20:00 EDT","Norway","Senegal","Group I, Matchday 2","MetLife Stadium, East Rutherford","","","","",""
"M042","Group Stage","2","I","2026/6/22","17:00","EDT (UTC-4)","17:00 EDT","France","Iraq","Group I, Matchday 2","Lincoln Financial Field, Philadelphia","","","","",""
"M043","Group Stage","2","J","2026/6/22","12:00","CDT (UTC-5)","13:00 EDT","Argentina","Austria","Group J, Matchday 2","AT&T Stadium, Arlington","","","","",""
"M044","Group Stage","2","J","2026/6/22","20:00","PDT (UTC-7)","23:00 EDT","Jordan","Algeria","Group J, Matchday 2","Levi's Stadium, Santa Clara","","","","",""
"M045","Group Stage","2","L","2026/6/23","16:00","EDT (UTC-4)","16:00 EDT","England","Ghana","Group L, Matchday 2","Gillette Stadium, Foxborough","","","","",""
"M046","Group Stage","2","L","2026/6/23","19:00","EDT (UTC-4)","19:00 EDT","Panama","Croatia","Group L, Matchday 2","BMO Field, Toronto","","","","",""
"M047","Group Stage","2","K","2026/6/23","12:00","CDT (UTC-5)","13:00 EDT","Portugal","Uzbekistan","Group K, Matchday 2","NRG Stadium, Houston","","","","",""
"M048","Group Stage","2","K","2026/6/23","20:00","CST (UTC-6)","22:00 EDT","Colombia","DR Congo","Group K, Matchday 2","Estadio Akron, Guadalajara","","","","",""
"M049","Group Stage","3","C","2026/6/24","18:00","EDT (UTC-4)","18:00 EDT","Scotland","Brazil","Group C, Matchday 3","Hard Rock Stadium, Miami Gardens","","","","",""
"M050","Group Stage","3","C","2026/6/24","18:00","EDT (UTC-4)","18:00 EDT","Morocco","Haiti","Group C, Matchday 3","Mercedes-Benz Stadium, Atlanta","","","","",""
"M051","Group Stage","3","B","2026/6/24","12:00","PDT (UTC-7)","15:00 EDT","Switzerland","Canada","Group B, Matchday 3","BC Place, Vancouver","","","","",""
"M052","Group Stage","3","B","2026/6/24","12:00","PDT (UTC-7)","15:00 EDT","Bosnia & Herzegovina","Qatar","Group B, Matchday 3","Lumen Field, Seattle","","","","",""
"M053","Group Stage","3","A","2026/6/24","19:00","CST (UTC-6)","21:00 EDT","Czech","Mexico","Group A, Matchday 3","Estadio Azteca, Mexico City","","","","",""
"M054","Group Stage","3","A","2026/6/24","19:00","CST (UTC-6)","21:00 EDT","South Africa","South Korea","Group A, Matchday 3","Estadio BBVA, Guadalupe","","","","",""
"M055","Group Stage","3","E","2026/6/25","16:00","EDT (UTC-4)","16:00 EDT","Curaçao","Ivory Coast","Group E, Matchday 3","Lincoln Financial Field, Philadelphia","","","","",""
"M056","Group Stage","3","E","2026/6/25","16:00","EDT (UTC-4)","16:00 EDT","Ecuador","Germany","Group E, Matchday 3","MetLife Stadium, East Rutherford","","","","",""
"M057","Group Stage","3","F","2026/6/25","18:00","CDT (UTC-5)","19:00 EDT","Japan","Sweden","Group F, Matchday 3","AT&T Stadium, Arlington","","","","",""
"M058","Group Stage","3","F","2026/6/25","18:00","CDT (UTC-5)","19:00 EDT","Tunisia","Netherlands","Group F, Matchday 3","GEHA Field at Arrowhead Stadium, Kansas City","","","","",""
"M059","Group Stage","3","D","2026/6/25","19:00","PDT (UTC-7)","22:00 EDT","Türkiye","USA","Group D, Matchday 3","SoFi Stadium, Inglewood","","","","",""
"M060","Group Stage","3","D","2026/6/25","19:00","PDT (UTC-7)","22:00 EDT","Paraguay","Australia","Group D, Matchday 3","Levi's Stadium, Santa Clara","","","","",""
"M061","Group Stage","3","I","2026/6/26","15:00","EDT (UTC-4)","15:00 EDT","Norway","France","Group I, Matchday 3","Gillette Stadium, Foxborough","","","","",""
"M062","Group Stage","3","I","2026/6/26","15:00","EDT (UTC-4)","15:00 EDT","Senegal","Iraq","Group I, Matchday 3","BMO Field, Toronto","","","","",""
