"match_id","team1","team2","score1","score2","penalty1","penalty2"

"M073","South Africa","Canada","","","",""
"M076","Brazil","Japan","","","",""
"M074","Germany","Paraguay","","","",""
"M075","Netherlands","Morocco","","","",""
"M078","Ivory Coast","Norway","","","",""
"M077","France","Sweden","","","",""
"M079","Mexico","Ecuador","","","",""
"M080","England","DR Congo","","","",""
"M082","Belgium","Senegal","","","",""
"M081","USA","Bosnia & Herzegovina","","","",""
"M084","Spain","Austria","","","",""
"M083","Portugal","Croatia","","","",""
"M085","Switzerland","Algeria","","","",""
"M088","Australia","Egypt","","","",""
"M086","Argentina","Cape Verde","","","",""
"M087","Colombia","Ghana","","","",""
"M089","Winner M074","Winner M077","","","",""
"M090","Winner M073","Winner M075","","","",""
"M091","Winner M076","Winner M078","","","",""
"M092","Winner M079","Winner M080","","","",""
"M093","Winner M083","Winner M084","","","",""
"M094","Winner M081","Winner M082","","","",""
"M095","Winner M086","Winner M088","","","",""
"M096","Winner M085","Winner M087","","","",""
"M097","Winner M089","Winner M090","","","",""
"M098","Winner M093","Winner M094","","","",""
"M099","Winner M091","Winner M092","","","",""
"M100","Winner M095","Winner M096","","","",""
"M101","Winner M097","Winner M098","","","",""
"M102","Winner M099","Winner M100","","","",""
"M103","Loser M101","Loser M102","","","",""
"M104","Winner M101","Winner M102","","","",""

"M001","Mexico","South Africa","","","",""
"M002","South Korea","Czech","","","",""
"M003","Canada","Bosnia & Herzegovina","","","",""
"M004","USA","Paraguay","","","",""
"M008","Qatar","Switzerland","","","",""
"M007","Brazil","Morocco","","","",""
"M005","Haiti","Scotland","","","",""
"M006","Australia","Türkiye","","","",""
"M010","Germany","Curaçao","","","",""
"M011","Netherlands","Japan","","","",""
"M009","Ivory Coast","Ecuador","","","",""
"M012","Sweden","Tunisia","","","",""
"M014","Spain","Cape Verde","","","",""
"M016","Belgium","Egypt","","","",""
"M013","Saudi Arabia","Uruguay","","","",""
"M015","Iran","New Zealand","","","",""
"M018","Iraq","Norway","","","",""
"M017","France","Senegal","","","",""
"M019","Argentina","Algeria","","","",""
"M020","Austria","Jordan","","","",""
"M023","Portugal","DR Congo","","","",""
"M022","England","Croatia","","","",""
"M021","Ghana","Panama","","","",""
"M024","Uzbekistan","Colombia","","","",""
"M025","Czech","South Africa","","","",""
"M028","Mexico","South Korea","","","",""
"M027","Canada","Qatar","","","",""
"M026","Switzerland","Bosnia & Herzegovina","","","",""
"M032","USA","Australia","","","",""
"M030","Scotland","Morocco","","","",""
"M029","Brazil","Haiti","","","",""
"M031","Türkiye","Paraguay","","","",""
"M035","Netherlands","Sweden","","","",""
"M033","Germany","Ivory Coast","","","",""
"M034","Ecuador","Curaçao","","","",""
"M036","Tunisia","Japan","","","",""
"M038","Spain","Saudi Arabia","","","",""
"M039","Belgium","Iran","","","",""
"M037","Uruguay","Cape Verde","","","",""
"M040","New Zealand","Egypt","","","",""
"M043","Argentina","Austria","","","",""
"M042","France","Iraq","","","",""
"M041","Norway","Senegal","","","",""
"M044","Jordan","Algeria","","","",""
"M047","Portugal","Uzbekistan","","","",""
"M045","England","Ghana","","","",""
"M046","Panama","Croatia","","","",""
"M048","Colombia","DR Congo","","","",""
"M051","Switzerland","Canada","","","",""
"M052","Bosnia & Herzegovina","Qatar","","","",""
"M049","Scotland","Brazil","","","",""
"M050","Morocco","Haiti","","","",""
"M053","Czech","Mexico","","","",""
"M054","South Africa","South Korea","","","",""
"M055","Curaçao","Ivory Coast","","","",""
"M056","Ecuador","Germany","","","",""
"M057","Japan","Sweden","","","",""
"M058","Tunisia","Netherlands","","","",""
"M059","Türkiye","USA","","","",""
"M060","Paraguay","Australia","","","",""
"M061","Norway","France","","","",""
"M062","Senegal","Iraq","","","",""
"M065","Cape Verde","Saudi Arabia","","","",""
"M066","Uruguay","Spain","","","",""
"M063","Egypt","Iran","","","",""
"M064","New Zealand","Belgium","","","",""
"M067","Panama","England","","","",""
"M068","Croatia","Ghana","","","",""
"M071","Colombia","Portugal","","","",""
"M072","DR Congo","Uzbekistan","","","",""
"M069","Algeria","Austria","","","",""
"M070","Jordan","Argentina","","","",""
