"National Team","No","Pos","Player","Captain","Age","Caps","Goals","Value","Club","Club Country","Final Squad (26)"
"Czech Republic","","GK","Matěj Kovář","No","26","19","0","$9M","PSV Eindhoven","Netherlands","Yes"
"Czech Republic","","GK","Jindřich Staněk","No","30","14","0","$8M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","GK","Lukáš Horníček","No","23","1","0","$45M","Braga","Portugal","Yes"
"Czech Republic","","DF","Vladimír Coufal","No","33","61","2","$521M","TSG Hoffenheim","Germany","Yes"
"Czech Republic","","DF","Tomáš Holeš","No","33","40","2","$521M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","DF","Ladislav Krejčí","Yes","27","26","5","$60M","Wolverhampton Wanderers","England","Yes"
"Czech Republic","","DF","David Zima","No","25","24","1","$7M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","DF","Jaroslav Zelený","No","33","22","0","$736K","Sparta Prague","Czech Republic","Yes"
"Czech Republic","","DF","David Jurásek","No","25","17","1","$2M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","DF","David Douděra","No","28","16","2","$8M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","DF","Robin Hranáč","No","26","13","1","$11M","TSG Hoffenheim","Germany","Yes"
"Czech Republic","","DF","Štěpán Chaloupek","No","23","4","0","$2M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","MF","Tomáš Souček","No","31","89","17","$40M","West Ham United","England","Yes"
"Czech Republic","","MF","Vladimír Darida","No","35","78","8","$521M","Hradec Králové","Czech Republic","Yes"
"Czech Republic","","MF","Lukáš Provod","No","29","37","3","$18M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","MF","Michal Sadílek","No","27","34","1","$10M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","MF","Pavel Šulc","No","25","20","5","$521M","Lyon","France","Yes"
"Czech Republic","","MF","Lukáš Červ","No","25","16","2","$8M","Viktoria Plzeň","Czech Republic","Yes"
"Czech Republic","","MF","Hugo Sochůrek","No","18","1","0","$813K","Sparta Prague","Czech Republic","Yes"
"Czech Republic","","MF","Alexandr Sojka","No","23","1","0","$3M","Viktoria Plzeň","Czech Republic","Yes"
"Czech Republic","","MF","Denis Višinský","No","23","1","0","$4M","Viktoria Plzeň","Czech Republic","Yes"
"Czech Republic","","FW","Patrik Schick","No","30","52","25","$95M","Bayer Leverkusen","Germany","Yes"
"Czech Republic","","FW","Adam Hložek","No","23","42","5","$46M","TSG Hoffenheim","Germany","Yes"
"Czech Republic","","FW","Jan Kuchta","No","29","31","3","$6M","Sparta Prague","Czech Republic","Yes"
"Czech Republic","","FW","Mojmír Chytil","No","27","22","6","$11M","Slavia Prague","Czech Republic","Yes"
"Czech Republic","","FW","Tomáš Chorý","No","31","21","6","$17M","Slavia Prague","Czech Republic","Yes"
"Mexico","","GK","Guillermo Ochoa","No","40","152","0","$521M","AEL Limassol","Cyprus","Yes"
"Mexico","","GK","Raúl Rangel","No","26","13","0","$9M","Guadalajara","Mexico","Yes"
"Mexico","","GK","Carlos Acevedo","No","30","7","0","$7M","Santos Laguna","Mexico","Yes"
"Mexico","","DF","Jesús Gallardo","No","31","120","3","$12M","Toluca","Mexico","Yes"
"Mexico","","DF","César Montes","No","29","66","4","$16M","Lokomotiv Moscow","Russia","Yes"
"Mexico","","DF","Jorge Sánchez","No","28","58","3","$19M","PAOK","Greece","Yes"
"Mexico","","DF","Johan Vásquez","No","27","45","2","","Genoa","Italy","Yes"
"Mexico","","DF","Israel Reyes","No","26","33","2","$13M","América","Mexico","Yes"
"Mexico","","DF","Mateo Chávez","No","22","9","0","$31M","AZ","Netherlands","Yes"
"Mexico","","MF","Edson Álvarez","Yes","28","97","7","$58M","Fenerbahçe","Turkey","Yes"
"Mexico","","MF","Orbelín Pineda","No","30","91","12","$35M","AEK Athens","Greece","Yes"
"Mexico","","MF","Roberto Alvarado","No","27","66","5","$16M","Guadalajara","Mexico","Yes"
"Mexico","","MF","Luis Romo","No","31","62","4","$8M","Guadalajara","Mexico","Yes"
"Mexico","","MF","Luis Chávez","No","30","44","4","$9M","Dynamo Moscow","Russia","Yes"
"Mexico","","MF","Érik Lira","No","26","24","0","$11M","Cruz Azul","Mexico","Yes"
"Mexico","","MF","Gilberto Mora","No","17","7","0","$4M","Tijuana","Mexico","Yes"
"Mexico","","MF","Brian Gutiérrez","No","22","6","2","$11M","Guadalajara","Mexico","Yes"
"Mexico","","MF","Obed Vargas","No","20","6","0","$42M","Atlético Madrid","Spain","Yes"
