venue_id,stadium_official_name,stadium_fifa_tournament_name,city,state_province,country
V01,Estadio Azteca,Mexico City Stadium,Mexico City,CDMX,Mexico
V02,Estadio Akron,Guadalajara Stadium,Guadalajara,Jalisco,Mexico
V03,Estadio BBVA,Monterrey Stadium,Guadalupe,Nuevo Le¨®n,Mexico
V04,BMO Field,Toronto Stadium,Toronto,Ontario,Canada
V05,BC Place,Vancouver Stadium,Vancouver,British Columbia,Canada
V06,MetLife Stadium,New York New Jersey Stadium,East Rutherford,New Jersey,USA
V07,AT&T Stadium,Dallas Stadium,Arlington,Texas,USA
V08,SoFi Stadium,Los Angeles Stadium,Inglewood,California,USA
V09,Hard Rock Stadium,Miami Stadium,Miami Gardens,Florida,USA
V10,NRG Stadium,Houston Stadium,Houston,Texas,USA
V11,Mercedes-Benz Stadium,Atlanta Stadium,Atlanta,Georgia,USA
V12,Gillette Stadium,Boston Stadium,Foxborough,Massachusetts,USA
V13,Lincoln Financial Field,Philadelphia Stadium,Philadelphia,Pennsylvania,USA
V14,Levi's Stadium,San Francisco Bay Area Stadium,Santa Clara,California,USA
V15,Lumen Field,Seattle Stadium,Seattle,Washington,USA
V16,GEHA Field at Arrowhead Stadium,Kansas City Stadium,Kansas City,Missouri,USA
